Date,Hour,Minute,Permit Type,Spaces Left
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Orange Permit,6
2023-09-25,14,38,Orange Permit,4
2023-09-25,14,38,Purple Permit,11
2023-09-25,14,38,Pay-By-Space,29
2023-09-25,14,39,Gold Permit,19
2023-09-25,14,39,Gold Permit,0
2023-09-25,14,39,Gold Permit,0
2023-09-25,14,39,Orange Permit,6
2023-09-25,14,39,Orange Permit,4
2023-09-25,14,39,Purple Permit,11
2023-09-25,14,39,Pay-By-Space,29
2023-09-25,14,43,Gold Permit,21
2023-09-25,14,43,Gold Permit,0
2023-09-25,14,43,Gold Permit,0
2023-09-25,14,43,Orange Permit,7
2023-09-25,14,43,Orange Permit,6
2023-09-25,14,43,Purple Permit,11
2023-09-25,14,43,Pay-By-Space,31
2023-09-25,14,44,Gold Permit,21
2023-09-25,14,44,Gold Permit,0
2023-09-25,14,44,Gold Permit,0
2023-09-25,14,44,Orange Permit,10
2023-09-25,14,44,Orange Permit,3
2023-09-25,14,44,Purple Permit,11
2023-09-25,14,44,Pay-By-Space,32
2023-09-25,14,44,Gold Permit,21
2023-09-25,14,44,Gold Permit,0
2023-09-25,14,44,Gold Permit,0
2023-09-25,14,44,Orange Permit,10
2023-09-25,14,44,Orange Permit,3
2023-09-25,14,44,Purple Permit,11
2023-09-25,14,44,Pay-By-Space,32
2023-09-25,14,45,Gold Permit,21
2023-09-25,14,45,Gold Permit,0
2023-09-25,14,45,Gold Permit,0
2023-09-25,14,45,Orange Permit,10
2023-09-25,14,45,Orange Permit,3
2023-09-25,14,45,Purple Permit,11
2023-09-25,14,45,Pay-By-Space,32
2023-09-25,14,45,Gold Permit,21
2023-09-25,14,45,Gold Permit,0
2023-09-25,14,45,Gold Permit,0
2023-09-25,14,45,Orange Permit,10
2023-09-25,14,45,Orange Permit,3
2023-09-25,14,45,Purple Permit,11
2023-09-25,14,45,Pay-By-Space,32
2023-09-25,14,46,Gold Permit,21
2023-09-25,14,46,Gold Permit,0
2023-09-25,14,46,Gold Permit,0
2023-09-25,14,46,Orange Permit,10
2023-09-25,14,46,Orange Permit,3
2023-09-25,14,46,Purple Permit,11
2023-09-25,14,46,Pay-By-Space,32
2023-09-25,14,46,Gold Permit,21
2023-09-25,14,46,Gold Permit,0
2023-09-25,14,46,Gold Permit,0
2023-09-25,14,46,Orange Permit,10
2023-09-25,14,46,Orange Permit,3
2023-09-25,14,46,Purple Permit,11
2023-09-25,14,46,Pay-By-Space,32
2023-09-25,14,47,Gold Permit,21
2023-09-25,14,47,Gold Permit,0
2023-09-25,14,47,Gold Permit,0
2023-09-25,14,47,Orange Permit,10
2023-09-25,14,47,Orange Permit,3
2023-09-25,14,47,Purple Permit,11
2023-09-25,14,47,Pay-By-Space,32
2023-09-25,14,47,Gold Permit,21
2023-09-25,14,47,Gold Permit,0
2023-09-25,14,47,Gold Permit,0
2023-09-25,14,47,Orange Permit,10
2023-09-25,14,47,Orange Permit,3
2023-09-25,14,47,Purple Permit,11
2023-09-25,14,47,Pay-By-Space,32
2023-09-25,14,48,Gold Permit,21
2023-09-25,14,48,Gold Permit,0
2023-09-25,14,48,Gold Permit,0
2023-09-25,14,48,Orange Permit,10
2023-09-25,14,48,Orange Permit,3
2023-09-25,14,48,Purple Permit,11
2023-09-25,14,48,Pay-By-Space,32
2023-09-25,14,55,Gold Permit,21
2023-09-25,14,55,Gold Permit,0
2023-09-25,14,55,Gold Permit,0
2023-09-25,14,55,Orange Permit,10
2023-09-25,14,55,Orange Permit,3
2023-09-25,14,55,Purple Permit,11
2023-09-25,14,55,Pay-By-Space,32
2023-09-25,14,55,Gold Permit,21
2023-09-25,14,55,Gold Permit,0
2023-09-25,14,55,Gold Permit,0
2023-09-25,14,55,Orange Permit,10
2023-09-25,14,55,Orange Permit,3
2023-09-25,14,55,Purple Permit,11
2023-09-25,14,55,Pay-By-Space,32
2023-09-25,14,56,Gold Permit,21
2023-09-25,14,56,Gold Permit,0
2023-09-25,14,56,Gold Permit,0
2023-09-25,14,56,Orange Permit,10
2023-09-25,14,56,Orange Permit,3
2023-09-25,14,56,Purple Permit,11
2023-09-25,14,56,Pay-By-Space,32
2023-09-25,14,56,Gold Permit,21
2023-09-25,14,56,Gold Permit,0
2023-09-25,14,56,Gold Permit,0
2023-09-25,14,56,Orange Permit,10
2023-09-25,14,56,Orange Permit,3
2023-09-25,14,56,Purple Permit,11
2023-09-25,14,56,Pay-By-Space,32
2023-09-25,14,57,Gold Permit,21
2023-09-25,14,57,Gold Permit,0
2023-09-25,14,57,Gold Permit,0
2023-09-25,14,57,Orange Permit,10
2023-09-25,14,57,Orange Permit,3
2023-09-25,14,57,Purple Permit,11
2023-09-25,14,57,Pay-By-Space,32
2023-09-25,14,57,Gold Permit,21
2023-09-25,14,57,Gold Permit,0
2023-09-25,14,57,Gold Permit,0
2023-09-25,14,57,Orange Permit,10
2023-09-25,14,57,Orange Permit,3
2023-09-25,14,57,Purple Permit,11
2023-09-25,14,57,Pay-By-Space,32
2023-09-25,14,58,Gold Permit,21
2023-09-25,14,58,Gold Permit,0
2023-09-25,14,58,Gold Permit,0
2023-09-25,14,58,Orange Permit,10
2023-09-25,14,58,Orange Permit,3
2023-09-25,14,58,Purple Permit,11
2023-09-25,14,58,Pay-By-Space,32
2023-09-25,14,58,Gold Permit,21
2023-09-25,14,58,Gold Permit,0
2023-09-25,14,58,Gold Permit,0
2023-09-25,14,58,Orange Permit,10
2023-09-25,14,58,Orange Permit,3
2023-09-25,14,58,Purple Permit,11
2023-09-25,14,58,Pay-By-Space,32
2023-09-25,14,59,Gold Permit,21
2023-09-25,14,59,Gold Permit,0
2023-09-25,14,59,Gold Permit,0
2023-09-25,14,59,Orange Permit,10
2023-09-25,14,59,Orange Permit,3
2023-09-25,14,59,Purple Permit,11
2023-09-25,14,59,Pay-By-Space,32
2023-09-25,14,59,Gold Permit,21
2023-09-25,14,59,Gold Permit,0
2023-09-25,14,59,Gold Permit,0
2023-09-25,14,59,Orange Permit,10
2023-09-25,14,59,Orange Permit,3
2023-09-25,14,59,Purple Permit,11
2023-09-25,14,59,Pay-By-Space,32
2023-09-25,15,0,Gold Permit,21
2023-09-25,15,0,Gold Permit,0
2023-09-25,15,0,Gold Permit,0
2023-09-25,15,0,Orange Permit,10
2023-09-25,15,0,Orange Permit,3
2023-09-25,15,0,Purple Permit,11
2023-09-25,15,0,Pay-By-Space,32
2023-09-25,15,0,Gold Permit,21
2023-09-25,15,0,Gold Permit,0
2023-09-25,15,0,Gold Permit,0
2023-09-25,15,0,Orange Permit,10
2023-09-25,15,0,Orange Permit,3
2023-09-25,15,0,Purple Permit,11
2023-09-25,15,0,Pay-By-Space,32
2023-09-25,15,1,Gold Permit,21
2023-09-25,15,1,Gold Permit,0
2023-09-25,15,1,Gold Permit,0
2023-09-25,15,1,Orange Permit,10
2023-09-25,15,1,Orange Permit,3
2023-09-25,15,1,Purple Permit,11
2023-09-25,15,1,Pay-By-Space,32
2023-09-25,15,1,Gold Permit,21
2023-09-25,15,1,Gold Permit,0
2023-09-25,15,1,Gold Permit,0
2023-09-25,15,1,Orange Permit,10
2023-09-25,15,1,Orange Permit,3
2023-09-25,15,1,Purple Permit,11
2023-09-25,15,1,Pay-By-Space,32
2023-09-25,15,2,Gold Permit,21
2023-09-25,15,2,Gold Permit,0
2023-09-25,15,2,Gold Permit,0
2023-09-25,15,2,Orange Permit,10
2023-09-25,15,2,Orange Permit,3
2023-09-25,15,2,Purple Permit,11
2023-09-25,15,2,Pay-By-Space,32
2023-09-25,15,2,Gold Permit,21
2023-09-25,15,2,Gold Permit,0
2023-09-25,15,2,Gold Permit,0
2023-09-25,15,2,Orange Permit,10
2023-09-25,15,2,Orange Permit,3
2023-09-25,15,2,Purple Permit,11
2023-09-25,15,2,Pay-By-Space,32
2023-09-25,15,3,Gold Permit,21
2023-09-25,15,3,Gold Permit,0
2023-09-25,15,3,Gold Permit,0
2023-09-25,15,3,Orange Permit,10
2023-09-25,15,3,Orange Permit,3
2023-09-25,15,3,Purple Permit,11
2023-09-25,15,3,Pay-By-Space,32
2023-09-25,15,3,Gold Permit,21
2023-09-25,15,3,Gold Permit,0
2023-09-25,15,3,Gold Permit,0
2023-09-25,15,3,Orange Permit,10
2023-09-25,15,3,Orange Permit,3
2023-09-25,15,3,Purple Permit,11
2023-09-25,15,3,Pay-By-Space,32
