Date,Hour,Minute,Permit Type,Spaces Left
2023-09-25,14,26,Gold Permit,119
2023-09-25,14,26,Gold Permit,13
2023-09-25,14,26,Gold Permit,28
2023-09-25,14,26,Orange Permit,35
2023-09-25,14,26,Purple Permit,13
2023-09-25,14,26,Purple Permit,0
2023-09-25,14,26,Pay-By-Space,85
2023-09-25,14,30,Gold Permit,121
2023-09-25,14,30,Gold Permit,13
2023-09-25,14,30,Gold Permit,32
2023-09-25,14,30,Orange Permit,40
2023-09-25,14,30,Purple Permit,13
2023-09-25,14,30,Purple Permit,0
2023-09-25,14,30,Pay-By-Space,83
2023-09-25,14,30,Gold Permit,121
2023-09-25,14,30,Gold Permit,13
2023-09-25,14,30,Gold Permit,32
2023-09-25,14,30,Orange Permit,40
2023-09-25,14,30,Purple Permit,13
2023-09-25,14,30,Purple Permit,0
2023-09-25,14,30,Pay-By-Space,83
2023-09-25,14,33,Gold Permit,120
2023-09-25,14,33,Gold Permit,15
2023-09-25,14,33,Gold Permit,28
2023-09-25,14,33,Orange Permit,36
2023-09-25,14,33,Purple Permit,13
2023-09-25,14,33,Purple Permit,0
2023-09-25,14,33,Pay-By-Space,82
2023-09-25,14,34,Gold Permit,121
2023-09-25,14,34,Gold Permit,15
2023-09-25,14,34,Gold Permit,26
2023-09-25,14,34,Orange Permit,37
2023-09-25,14,34,Purple Permit,13
2023-09-25,14,34,Purple Permit,0
2023-09-25,14,34,Pay-By-Space,83
2023-09-25,14,35,Gold Permit,121
2023-09-25,14,35,Gold Permit,15
2023-09-25,14,35,Gold Permit,26
2023-09-25,14,35,Orange Permit,37
2023-09-25,14,35,Purple Permit,13
2023-09-25,14,35,Purple Permit,0
2023-09-25,14,35,Pay-By-Space,83
2023-09-25,14,35,Gold Permit,121
2023-09-25,14,35,Gold Permit,15
2023-09-25,14,35,Gold Permit,26
2023-09-25,14,35,Orange Permit,37
2023-09-25,14,35,Purple Permit,13
2023-09-25,14,35,Purple Permit,0
2023-09-25,14,35,Pay-By-Space,83
2023-09-25,14,36,Gold Permit,121
2023-09-25,14,36,Gold Permit,11
2023-09-25,14,36,Gold Permit,28
2023-09-25,14,36,Orange Permit,34
2023-09-25,14,36,Purple Permit,13
2023-09-25,14,36,Purple Permit,0
2023-09-25,14,36,Pay-By-Space,83
2023-09-25,14,36,Gold Permit,121
2023-09-25,14,36,Gold Permit,11
2023-09-25,14,36,Gold Permit,28
2023-09-25,14,36,Orange Permit,36
2023-09-25,14,36,Purple Permit,13
2023-09-25,14,36,Purple Permit,0
2023-09-25,14,36,Pay-By-Space,83
2023-09-25,14,36,Gold Permit,121
2023-09-25,14,36,Gold Permit,11
2023-09-25,14,36,Gold Permit,28
2023-09-25,14,36,Orange Permit,36
2023-09-25,14,36,Purple Permit,13
2023-09-25,14,36,Purple Permit,0
2023-09-25,14,36,Pay-By-Space,83
2023-09-25,14,37,Gold Permit,121
2023-09-25,14,37,Gold Permit,11
2023-09-25,14,37,Gold Permit,28
2023-09-25,14,37,Orange Permit,36
2023-09-25,14,37,Purple Permit,13
2023-09-25,14,37,Purple Permit,0
2023-09-25,14,37,Pay-By-Space,83
2023-09-25,14,37,Gold Permit,121
2023-09-25,14,37,Gold Permit,11
2023-09-25,14,37,Gold Permit,28
2023-09-25,14,37,Orange Permit,36
2023-09-25,14,37,Purple Permit,13
2023-09-25,14,37,Purple Permit,0
2023-09-25,14,37,Pay-By-Space,83
